"Frequency", "Magnitude"
20169.0, -1.380571
20351.0, -1.256996
20535.0, -1.137272
20720.0, -1.022332
20908.0, -0.911259
21096.0, -0.806098
21287.0, -0.705438
21479.0, -0.610649
21673.0, -0.521498
21869.0, -0.438296
22067.0, -0.361352
22266.0, -0.291307
22467.0, -0.228058
22670.0, -0.171906
22875.0, -0.123151
23082.0, -0.082087
23290.0, -0.049144
23501.0, -0.024290
23713.0, -0.008039
23927.0, -0.000520
24144.0, -200.000000
24362.0, -200.000000
24582.0, -200.000000
24804.0, -200.000000
25028.0, -200.000000
25254.0, -200.000000
25482.0, -200.000000
25713.0, -200.000000
25945.0, -200.000000
26179.0, -200.000000
26416.0, -200.000000
26655.0, -200.000000
26895.0, -200.000000
27138.0, -200.000000
27384.0, -200.000000
27631.0, -200.000000
27881.0, -200.000000
28133.0, -200.000000
28387.0, -200.000000
28643.0, -200.000000
28902.0, -200.000000
29163.0, -200.000000
29427.0, -200.000000
29693.0, -200.000000
29961.0, -200.000000
30232.0, -200.000000
30505.0, -200.000000
30780.0, -200.000000
31059.0, -200.000000
31339.0, -200.000000
31622.0, -200.000000
31908.0, -200.000000
32196.0, -200.000000
32487.0, -200.000000
32781.0, -200.000000
33077.0, -200.000000
33376.0, -200.000000
33677.0, -200.000000
33982.0, -200.000000
34289.0, -200.000000
34598.0, -200.000000
34911.0, -200.000000
35226.0, -200.000000
35545.0, -200.000000
35866.0, -200.000000
36190.0, -200.000000
36517.0, -200.000000
36847.0, -200.000000
37180.0, -200.000000
37516.0, -200.000000
37855.0, -200.000000
38197.0, -200.000000
38542.0, -200.000000
38890.0, -200.000000
39241.0, -200.000000
39596.0, -200.000000
39954.0, -200.000000
40315.0, -200.000000
40679.0, -200.000000
41046.0, -200.000000
41417.0, -200.000000
41792.0, -200.000000
42169.0, -200.000000
42550.0, -200.000000
42935.0, -200.000000
43323.0, -200.000000
43714.0, -200.000000
44109.0, -200.000000
44507.0, -200.000000
44910.0, -200.000000
45315.0, -200.000000
45725.0, -200.000000
46138.0, -200.000000
46555.0, -200.000000
46975.0, -200.000000
47400.0, -200.000000
47828.0, -200.000000
48260.0, -200.000000
48696.0, -200.000000
49136.0, -200.000000
49580.0, -200.000000
50028.0, -200.000000
50480.0, -200.000000
50936.0, -200.000000
51396.0, -200.000000
51861.0, -200.000000
52329.0, -200.000000
52802.0, -200.000000
53279.0, -200.000000
53761.0, -200.000000
54246.0, -200.000000
54737.0, -200.000000
55231.0, -200.000000
55730.0, -200.000000
56234.0, -200.000000
56742.0, -200.000000
57254.0, -200.000000
57772.0, -200.000000
58294.0, -200.000000
58820.0, -200.000000
59352.0, -200.000000
59888.0, -200.000000
60429.0, -200.000000
60975.0, -200.000000
61526.0, -200.000000
62082.0, -200.000000
62643.0, -200.000000
63209.0, -200.000000
63780.0, -200.000000
64356.0, -200.000000
64938.0, -200.000000
65524.0, -200.000000
66116.0, -200.000000
66714.0, -200.000000
67317.0, -200.000000
67925.0, -200.000000
68538.0, -200.000000
69158.0, -200.000000
69783.0, -200.000000
70413.0, -200.000000
71049.0, -200.000000
71691.0, -200.000000
72339.0, -200.000000
72993.0, -200.000000
73652.0, -200.000000
74317.0, -200.000000
74989.0, -200.000000
75666.0, -200.000000
76350.0, -200.000000
77040.0, -200.000000
77736.0, -200.000000
78438.0, -200.000000
79147.0, -200.000000
79862.0, -200.000000
80584.0, -200.000000
81312.0, -200.000000
82046.0, -200.000000
82788.0, -200.000000
83536.0, -200.000000
84291.0, -200.000000
85052.0, -200.000000
85821.0, -200.000000
86596.0, -200.000000
87378.0, -200.000000
88168.0, -200.000000
88964.0, -200.000000
89768.0, -200.000000
90579.0, -200.000000
91398.0, -200.000000
92223.0, -200.000000
93057.0, -200.000000
93897.0, -200.000000
94746.0, -200.000000
95602.0, -200.000000
96466.0, -200.000000
97337.0, -200.000000
98217.0, -200.000000
99104.0, -200.000000
